Country,CO
ARG,8.411958843835154e+18
CAN,0.031792477691649564
BRA,0.028557467267900292
COL,0.03271003004111764
USA,0.03115011049279322
MEX,0.028369088566655085
DNK,0.033156020696171455
FIN,0.032801678363424146
SWE,0.032304954508112535
CZE,0.03184186399448663
AUT,0.029359307230657175
BEL,0.03247332915715459
BGD,0.04043998580891639
IND,0.0314503584910805
JPN,0.0369999694198163
IRN,0.028954155355071027
CHN,0.031884387963347964
DEU,0.03223126168207576
ECU,0.03231292404234409
BGR,0.03154769726097584
GTM,0.02835575718846586
ESP,0.029237925799356565
ITA,0.030732593550864194
RUS,0.03236990002915263
PER,0.02958472107679376
VEN,0.031504714551071324
