Country,CO
DNK,-0.0012113102013245197
FIN,-0.0006486504950122471
SWE,-0.0009699372610593449
CZE,-0.001091925601419963
AUT,-0.0010667620704342164
BEL,-0.001269620065857853
PER,-0.0031921454069699443
ARG,-0.0034004867504101553
CAN,-0.0009605012600212154
BRA,-0.002600149848873464
COL,-0.001778801285856682
USA,-0.0012505303048895161
MEX,-0.0019621428465454
BOL,-0.004716109748503228
ECU,-0.0019062238283895222
FRA,-0.0014721109127505579
CHN,-0.0012707897898304732
VEN,-0.00143786984677418
GTM,-0.0025771385915110932
ESP,-0.0018241090879542558
ITA,-0.0009741801307409058
BGR,-0.001103841257466879
RUS,-0.0009687961538328779
DEU,-0.0011687974814427668
BGD,-0.0012421267940760441
IND,-0.0016989404469129298
JPN,-0.00163013379441148
IRN,-0.001466766357994996
