Country,CH4
GTM,-13.233195424507358
ARG,-11.973822862274801
CAN,-16.857231711043823
BRA,-5.102996543077552
COL,-10.86452865600586
USA,-20.181106200205022
MEX,-10.665658388496695
PER,-1.0759877038381092
ESP,-21.821458875868075
ITA,-17.952841432938612
BGR,-17.312552897135447
RUS,-18.987401891637774
FRA,-16.88024341275218
CHN,-14.451727542507342
BOL,-7.476013081071187
DNK,-26.45390777587886
FIN,-15.707543157762075
SWE,-23.16650736573274
CZE,-18.567123939251132
AUT,-22.36726955837662
BEL,-16.158277239118206
ECU,-10.882212298407921
VEN,-5.750682325487105
BGD,-24.28218383789067
IND,-12.932295187925774
JPN,-20.658541254034617
IRN,-13.059222608206255
DEU,-15.28386656077896
