Country,SO2
GTM,-5.193730912560246e-06
ARG,-1.266771173997378e-05
CAN,-0.00010216566877472521
BRA,1.6242096332857698e-05
COL,5.065236117503055e-07
USA,-8.994057629976809e-06
MEX,-4.7631841607859506e-06
PER,-8.003593403734209e-06
ESP,-5.0976384740533345e-05
ITA,-5.769437614308564e-05
BGR,-4.188648255172125e-05
RUS,-0.00010321307500913504
FRA,-0.00011799479366052254
CHN,-4.148644991500544e-05
BOL,1.3767263940111072e-05
DNK,-0.0001074683071518565
FIN,-0.00024499045034864347
SWE,-0.0002244912794074201
CZE,-0.00023879012561423
AUT,-0.00011752213452197742
BEL,-0.0001997635843946408
ECU,-4.620318309469534e-05
VEN,-1.258605185790782e-06
BGD,1.6582457386900905e-05
IND,5.795947130280642e-06
JPN,-7.381652921192171e-05
IRN,1.5311365764810437e-05
DEU,-0.00012348681371513733
